CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Neelayyavalasa B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Chowkipeta B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Palavalasa B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Uppalam B.O,532263,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8831111,84.5829444
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Yerramukkam B.O,532263,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8831111,84.5829444
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kavitaagraharam B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pedalaxmipuram B.O,532216,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7709444,84.1853880
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kondalogam B.O,532243,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8486660,84.5038611
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Burjapadu B.O,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1174110,84.6861944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Loddaputti B.O,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1174110,84.6861944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Purushothapur (IPR) B.O,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1174110,84.6861944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jhadupudi B.O,532290,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9756667,84.5805277
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Sahalalaputtuga B.O,532290,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9756667,84.5805277
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Nagarampalli B.O,532222,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2962500,83.8936944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jagathi B.O,532322,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.0113611,84.6902500
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Borubhadra B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Elamanchili B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pattupuram B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,T.Lingalapadu B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Gudarurajamanipuram B.O,532242,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8715277,84.4615110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Rushikudda B.O,532292,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9517770,84.6317220
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pedapadmapuram B.O,532215,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7695566,84.1688611
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Buragam B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Talagam B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Devanaltada B.O,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2962500,83.8936944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Hanumanthunaidupeta BO,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5445,84.2723
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Akasalakkavaram BO,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5224,84.2345
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Lotturu BO,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8618,84.3516
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Haridasupuram B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kanitivooru B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kurmanadhapuram B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pedamuraharipuram B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jinkibhadra B.O,532284,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9460550,84.5854444
